,Source,Expected,Predicted
16,'Not at all.,— Per nulla affatto.,— Non nulla .
17,The mistress is at home.,La signora è in casa.,La padrona è in casa .
18,Leave me Serezha!',Lasciatemi Serëza!,Lasciatemi Serëza !
19,Koznyshev walked by her side and did not cease admiring her.,Sergej Ivanovic le camminava a fianco e non cessava d’ammirarla.,"Sergej Ivanovic corse , e non fece neppure il passo irritato , che a lei ."
20,Kartasov went out without bowing and the box remained empty.,"Kartasov uscì senz’aver potuto salutare, e il palco rimase vuoto.","Kartasov , senza far rumore , la cassetta rimase vuoto ."
21,Steve and Levin were here.',Sono stati qui Stiva e Levin.,Stiva e Levin erano là .
22,St. John smiled slightly: still he was dissatisfied.,"Saint-John sorrise leggermente, ma pareva poco contento.","Saint - John sorrise , ma egli non gli piacque ."
23,She had never seen her in such a strange and irritable mood. 'When are you leaving?' she asked.,"Non l’aveva mai vista in uno stato così strano, irritato. — Tu quando vai via? — ella domandò.","Non l ’ aveva mai vista in simili cose : “ Quando vai , andate ? — chiese ."
24,"'What is it? Am I going mad?' and she went to her bedroom, where Annushka was tidying up.",“Cos’è impazzisco?” e andò nella stanza da letto dove c’era Annuška che rassettava la camera.,"— Che cosa forse sarà forse ... sono forse matta ? — ella si disse , sedendosi in camera ."
25,"""Did no one go to Thornfield Hall, then?",— Nessuno è andato dunque a Thornfield?,— Non è nessuno di Thornfield ?
26,"It is scarcely fair, sir.""","Non era una bella parte, signore.","— Non è vero , signore ."
27,'I don't care.',— Per me è lo stesso.,— Non ne ho lo scopo .
28,"Levin, who during Oblonsky's talk with the Secretary had quite overcome his shyness, stood leaning both arms on the back of a chair and listening with ironical attention.","Levin, che durante il colloquio con il segretario aveva avuto modo di rimettersi completamente, stava in piedi, poggiando tutte e due le mani ad una sedia, e sul suo viso vi era un’attenzione ilare.","Levin , che durante il discorso del segretario , si sentì con la propria espressione , si coprì con le braccia , e guardò il viso con indifferenza , di lui ."
29,"It was necessary for him to go, but he could not tear himself away from the sight of her: He had loved that face and known all its expressions and looks, but he had never seen her as she was now.","Bisognava andare, ma non poteva staccare lo sguardo da lei. O che non gli piacesse quel suo viso, o che non ne conoscesse l’espressione, lo sguardo, certo non l’aveva mai vista così.","Bisognava andare da lui , ma non poteva non guardarlo , e aveva capito tutto quello che aveva amata e lo amava , ma non aveva mai visto come lei ."
30,One day there are races and his horses are running; he goes.,"Oggi sono le corse, i suoi cavalli corrono, egli va via.",Un giorno ci si avvicinò e i cavalli se ne va .
31,"The door was opened by the hall-porter before Karenin had time to ring. The porter, Petrov, otherwise Kapitonich, looked strange in an old coat without a tie, and in slippers.","Il portiere Petrov, chiamato Kapitonyc, aveva un aspetto strano, così com’era in quella vecchia finanziera senza cravatta e in pantofole.","La porta si aprì , attraverso il portiere , aveva già tempo a notare l ’ anello di Aleksej Aleksandrovic . Il portiere , proprio , non si esprimeva , in cappotto , e le porte in pantofole , in silenzio ."
32,"""I do indeed, sir.""","— Sì che lo credo, signore.","— Sì , signore , signore ."
33,'When are you going?' she asked.,— Quando parti?,— Quando andate ? — ella chiese .
34,"Just so, here it is.","Eccola, è proprio così.","Ecco , così è vero ."
35,"""Not too much at first--restrain her,"" said the brother; ""she has had enough."" And he withdrew the cup of milk and the plate of bread.","— Non tanto alla volta, trattenetela, — disse il fratello. — Ora basta, — e allontanò la tazza col latte e il piatto del pane.","— Non troppo per nulla , non per nulla di male — disse il fratello , — e si ha messo in risposta alla tazza di pane e il pane ."
36,"So it happens with fortune, who shows her power where valour has not prepared to resist her, and thither she turns her forces where she knows that barriers and defences have not been raised to constrain her.","Similmente interviene della fortuna: la quale dimonstra la sua potenzia dove non è ordinata virtù a resisterle, e quivi volta li sua impeti, dove la sa che non sono fatti li argini e li ripari a tenerla.","E che , con fortuna , è la virtù che la virtù non può resistere , e a se non le sue forze si sa dove non è necessario e non si sono ."
37,ON MONDAY THE USUAL MEETING OF THE COMMITTEE of the Second of July took place.,Il lunedì c’era la solita seduta della commissione del 2 giugno.,la questione della materia di matrimonio con l ' imperatore di luglio le fu .
38,"She had now called Varenka only to give her a silent blessing for the important event which, according to Kitty, was to happen in the woods that day after dinner.","Adesso, aveva chiamato Varen’ka solo per benedirla mentalmente, in vista di un avvenimento così importante che, secondo Kitty, doveva compiersi in quel giorno, dopo pranzo, nel bosco.","Adesso , Kitty aveva detto solo a Varen ’ ka , solo per il più piccolo senso di quello che , secondo Kitty , era accaduto in quella faccenda , che , secondo il pranzo , era venuta a prendere il pranzo ."
39,In a moment she will tell me what she told me then: that these suspicions are groundless and ridiculous.',"Ecco, ora mi dirà subito quello che ha già detto l’altra volta: che i miei sospetti sono infondati, che tutto ciò è ridicolo”.","In un momento mi dirà quello che diceva , allora , che questi sospetti sono stati cattivi , non sono ridicoli ."
40,"Sometimes this occasioned her pain, but at the same time she wanted to laugh because of this strange new joy.","Spesso le accadeva di sentirsi male per questo, ma nello stesso tempo aveva voglia di ridere per una strana nuova gioia.","A volte questo dolore gli appariva penoso , ma nello stesso tempo voleva ridere per quel particolare incanto ."
41,"The chief difficulty Alice found at first was in managing her flamingo: she succeeded in getting its body tucked away, comfortably enough, under her arm, with its legs hanging down, but generally, just as she had got its neck nicely straightened out, and was going to give the hedgehog a blow with its head, it would twist itself round and look up in her face, with such a puzzled expression that she could not help bursting out laughing: and when she had got its head down, and was going to begin again, it was very provoking to find that the hedgehog had unrolled itself, and was in the act of crawling away: besides all this, there was generally a ridge or furrow in the way wherever she wanted to send the hedgehog to, and, as the doubled-up soldiers were always getting up and walking off to other parts of the ground, Alice soon came to the conclusion that it was a very difficult game indeed.","La principale difficoltà consisteva in ciò, che Alice non sapeva come maneggiare il suo fenicottero; ma poi riuscì a tenerselo bene avviluppato sotto il braccio, con le gambe penzoloni; ma quando gli allungava il collo e si preparava a picchiare il riccio con la testa, il fenicottero girava il capo e poi si metteva a guardarla in faccia con una espressione di tanto stupore che ella non poteva tenersi dallo scoppiare dalle risa: e dopo che gli aveva fatto abbassare la testa, e si preparava a ricominciare, ecco che il riccio si era svolto, e se n'andava via. Oltre a ciò c'era sempre una zolla o un solco là dove voleva scagliare il riccio, e siccome i soldati incurvati si alzavano e andavan vagando qua e là, Alice si persuase che quel giuoco era veramente difficile.","La difficoltà della prima difficoltà si fu in un momento d ' impazienza . Alice si fece per andarsene , e per tanto in tanto da perdere il braccio , con le gambe e col braccio , perchè , come ella s ' era alzato e s ' , si mise a guardare il collo con la testa , e poi si mise a gridare : — Non ci volle molto da sè , perchè non ci si il fuoco , e poi , Alice , con un tratto che si mise a sè stesso , e si mise a guardare con un tratto in giro , perchè il suo sguardo , non si mise a sedere per terra in giro , e ci si mise a gridare : “ Bevi .”"
42,"'I understand, I understand very well,' said Dolly and her head dropped.","— Capisco, capisco bene — disse Dolly, e abbassò il capo.","— Capisco , capisco bene — disse Dolly e , senza aver taciuto , cominciò a il capo ."
43,"Moreover, I wished to see whether you would seek me if I shunned you--but you did not; you kept in the schoolroom as still as your own desk and easel; if by chance I met you, you passed me as soon, and with as little token of recognition, as was consistent with respect.","""Siete rimasta tranquilla nello studio davanti al leggio o al cavalletto, e se per caso v'incontravo, passavate davanti a me, mi facevate col capo un saluto rispettoso.",""" In quel momento volevo vedere se vi , ma vi , non vi di dove vi eravate sempre davanti a un tratto , e , se vi , vi , lo , lo , lo , lo subito ."
44,"Alice thought the whole thing very absurd, but they all looked so grave that she did not dare to laugh; and, as she could not think of anything to say, she simply bowed, and took the thimble, looking as solemn as she could. The next thing was to eat the comfits: this caused some noise and confusion, as the large birds complained that they could not taste theirs, and the small ones choked and had to be patted on the back.","Bisognava ora mangiare i confetti; cosa che cagionò un po' di rumore e di confusione, perchè gli uccelli grandi si lagnavano che non avevano potuto assaporarli, e i piccoli, avendoli inghiottiti d'un colpo, corsero il rischio di strozzarsi e si dovè picchiarli sulla schiena.","“ La stessa cosa sola , tutti dicono , ma tutti guardavano così grave , e non Alice osservò che si : il cappello e il cappello , si alzò di dire , mentre il cappello s ' inchinò ; e il suono s ' era per qualche rumore , il rumore delle altre note , il rumore di certi , di musica non potevano fare le voci ."
45,On hearing this Anna quickly sat down and hid her face behind her fan.,"Udito questo, Anna si sedette di colpo e si coprì il viso col ventaglio.","E , in quel momento , Anna si sedette in fretta e si coprì il viso di Anna ."
46,"Then followed a dead silence, and a feeble voice was heard saying:",Seguì un silenzio di morte e si sentì una debole voce di vecchio:,"Poi , dopo un silenzio , fece un po ’ assai debole , e fece parlare :"
47,"You were from home last night?""",La notte scorsa non eravate a casa?,Vi siete venuta dalla notte ?
48,"The first question of course was, how to get dry again: they had a consultation about this, and after a few minutes it seemed quite natural to Alice to find herself talking familiarly with them, as if she had known them all her life.","La prima questione, messa sul tappeto, fu naturalmente il mezzo per asciugarsi: si consultarono tutti, e Alice dopo poco si mise a parlar familiarmente con loro, come se li conoscesse da un secolo uno per uno.","La prima questione della questione era di nuovo , e da poco era un po ' di minuti . E dopo pochi minuti parve naturale in qualche modo naturale Alice , che se le avesse parlato con loro , si fosse messa in mente tutto quello che aveva conosciuta ."
49,"It is one of Harris's fixed ideas that he CAN sing a comic song; the fixed idea, on the contrary, among those of Harris's friends who have heard him try, is that he CAN'T and never will be able to, and that he ought not to be allowed to try.","Una delle idee fisse di Harris si è quella ch’egli sa cantare le canzoni allegre; l’idea fissa, invece, fra quegli amici di Harris che lo hanno sentito, si è che non sa farlo, che non ne sarà mai capace e che non gli si dovrebbe permettere di cantare.","È una delle idee di Harris in cui si parlava con la canzone così piacevole . Il punto di Harris , nel momento in cui gli si parla di Harris , e in quei amici che lo possono , non si può continuare , e che non si deve desiderare , non si deve continuare in sé ."
50,"""In the shallows"" hits it exactly,' remarked Katavasov. 'And we in town can see nothing but the Serbian war!","Ecco, proprio come in un porto — disse Katavasov. — E noi in città, eccettuata la guerra serba, non vediamo nulla.","— In fondo al si — disse Katavasov . — E noi non vediamo altro che nella città , ma nella guerra ..."
51,"You delight in half-phrases.""",Vi divertite a parlare a metà.,Voi avete le dolci personali !
52,"She again put her short black pipe to her lips, and renewed her smoking with vigour.",Si rimise la pipa in bocca fumando con forza.,"Ella fece di nuovo una forte pipa , e si mise a piangere con le sue risate ."
53,"'The danger in military, that is, cavalry, steeplechases is an unavoidable element of the racing.","— Il pericolo nelle corse dell’arma di cavalleria, è un rischio che non si può eliminare in ogni corsa.","— Il pericolo di militare , è uno dei cavalli , degli allogeni ."
54,"'Oh yes, I should!","— No, vi avrei riconosciuto.","— Sì , sì , sarei proprio ."
55,I almost think I can remember feeling a little different.,Mi pare di ricordarmi che mi son trovata un po' diversa.,Mi ricordo quasi di capire un poco .
56,"""You are afraid of me, because I talk like a Sphynx.""","— Avete paura di me, perché le mie parole somigliano a quelle della sfinge.","— Voi pure , signore , perché ho parlato di me stessa ."
57,"He was really dissatisfied, not because they had spent so much but because he had been reminded of a matter which, well knowing that something was wrong, he wished to forget.","Realmente egli era contrariato, non che se ne andassero molti denari, ma che gli si ricordasse quello che lui, sapendo che v’era qualcosa che non andava, voleva dimenticare.","Era proprio proprio scontento , perché non avevano passato tanto tanto tempo perché aveva passato le lezioni , cosa che sapeva bene cosa dire ."
58,"You must open the middle drawer of my toilet-table and take out a little phial and a little glass you will find there,--quick!""","Tornate in camera mia, nel cassetto di mezzo della toilette troverete una boccettina e un bicchiere: portatemeli.","Dovete camminare nel mezzo del mio cassetto , e vi fermate una boccetta di una boccetta e una boccetta ."
59,"These matters interested him, not because he justified them to himself by any general theories as he had done previously; on the contrary, being now on the one hand disenchanted by the ill-success of his former occupations for the general welfare, and on the other hand too much occupied with his own thoughts and by the mass of affairs that overwhelmed him from all sides, he quite abandoned all calculation of public utility, and these matters interested him only because it seemed to him that he had to do what he was doing, and could not act otherwise.","Questi affari lo occupavano non perché egli li giustificasse da un qualche punto di vista generale, come soleva far prima; al contrario, adesso, da una parte deluso dall’insuccesso delle precedenti opere per la comune utilità, dall’altra troppo preso dai suoi pensieri e dal gran numero di faccende che gli piombavano da ogni lato, aveva completamente abbandonato ogni considerazione sull’utilità generale, e questi affari lo occupavano soltanto perché gli pareva di dover fare quello che faceva, di non poter fare altrimenti.","Queste cose lo interessava , perché non a se stesso la cosa generale per la delle , al contrario , , al contrario , alla prima del bene , dal bene del bene del bene e dalle occupazioni del bene , e dai pensieri del bene , tanto gli altri gli stessi pensieri ; con tutte le cose che lo facevano affatto tutto , e ogni cosa , di quello che lo interessava affatto da lui stesso , e perché lo stesso , per quanto lo interessava a sé stesso , non solo perché lo interessava a sé , perché lo interessava a sé stesso , e a quello che gli altri cose ."
60,Mary Vlasevna laughed.,Lizaveta Petrovna si mise a ridere.,Lizaveta Petrovna rise .
61,At the excellent dinner the episodes of the elections were discussed.,Durante l’ottimo pranzo si rievocarono gli episodi delle elezioni.,"Alle elezioni , un po ’ delle elezioni erano allegre ."
62,"The chamber looked such a bright little place to me as the sun shone in between the gay blue chintz window curtains, showing papered walls and a carpeted floor, so unlike the bare planks and stained plaster of Lowood, that my spirits rose at the view.","Come mi parve gaia la mia camera, quando il sole, brillando attraverso le tende turchine della finestra, mi fece scorgere le pareti coperte di carta a fiori e un tappeto steso sul pavimento! Non potei a meno di paragonare quella camera con l'altra di Lowood con le assi per terra, e i muri anneriti.","La camera era in camera mia come un ' altra stanza da me , i muri si nelle tende di rose , ma non , così come i muri , le spalle si , tanto più larghe , che mi , mi alzai su le mie scale ."
63,Harris said he would have given worlds for mustard too.,Anche Harris disse che avrebbe dato dei mondi per la mostarda.,Harris disse che avrebbe dato la mostarda per la mostarda anche per l ’ estate .
64,"'Yes, quite big,' answered Dolly shortly, and was herself surprised that she could talk so coldly about her children. 'We are very comfortable at the Levins',' she added.","— Sì, molto grande — rispose breve Dar’ja Aleksandrovna, meravigliandosi lei stessa di rispondere così freddamente sui suoi figliuoli. — Stiamo benissimo dai Levin — ella aggiunse.","— Sì , molto — rispose Dar ’ ja Aleksandrovna , e si sentì sorpreso di parlare con lei , molto freddo . — Abbiamo ancora molto bene , anche lei , — aggiunse , dopo aver preso la figura del bambino ."
65,"Am I afraid, or have I put her under Tushkevich's protection?",Ho paura forse e ho affidato a Tuškevic di proteggerla?,"Sono forse sicura , forse l ’ ho messa sotto la protezione di Tuškevic ?"
66,"After I had begun to eat some I gave some to my man, who seemed very glad of it, and liked it very well; but that which was strangest to him was to see me eat salt with it.","Arrivato, la sera stessa scorticai il mio capretto e lo feci in quarti meglio che seppi; indi avendo una pentola opportuna all’uopo misi a bollire una parte di quella carne, che mi diede, per dir vero, un brodo squisito. Dopo aver cominciato a mangiar io un poco di questo lesso o stufato che fosse, ne diedi al mio galantuomo, che lo gradì e gustò grandemente.","Dopo aver cominciato a mangiare alcuni miei discorsi di mio servo un ’ altra cosa , che mi pareva molto bene di quanto mi fosse buono , ma che mi faceva volentieri da me , era ben meglio che mi con me ."
67,"But the Princess, having found out from the visitors' list that they were Nicholas Levin and Mary Ivanovna, explained to Kitty what a bad man this Levin was, and all her dreams about those two people vanished.","Ma la principessa, scoperto nella Kurliste che erano Levin Nikolaj e Mar’ja Nikolaevna, spiegò a Kitty quale pessimo soggetto fosse questo Levin, e tutti i sogni su questi due esseri scomparvero.","Ma la principessa , avendo trovato da ospiti dai ospiti dei ospiti , che avevano portato Nikolaj Levin e Mar ’ ja Nikolaevna , Levin spiegò a quello che era stato un uomo cattivo , e tutti quei due proprietari di persone che ."
68,"""Oh, quite well! I never felt better.""","— Sto benissimo, — risposi.","— No , davvero , non ho mai pensato ."
69,'I don't want to drive you away.',— Io non voglio scacciarvi.,— Non voglio andare a casa .
70,"When her first baby was born, she being already divorced from her husband, it died at once; and her relations, knowing how susceptible she was and fearing that this news might kill her, changed her dead child for one who had been born that night in the same house in Petersburg, the daughter of a chef at a palace. That child was Varenka.","Il suo primo bambino, nato dopo il divorzio, era morto appena venuto al mondo, e i parenti della signora Stahl, conoscendo la sua sensibilità e temendo che questa notizia potesse ucciderla, sostituirono il bambino con la figlia del cuoco di corte, nata in quella stessa notte e nella stessa casa, a Pietroburgo.","Quando il bambino fu caro , ella il divorzio , era già morto dal divorzio , e lei , per quanto a poco , ella non aveva più voglia di , e questa notizia che quella in quella sera , la figlia del bambino che era stata in casa di Pietroburgo , in un palazzo ."
71,"In those days he loved science. When he left the university he had human interests; but now half his talents are bent on self-deception, and the other half toward justification of that deception.'","E amava la scienza allora, finita l’università, e aveva interessi umani; mentre adesso, una parte delle sue abitudini è diretta a ingannare se stesso, e l’altra metà a giustificare questo inganno.","In quei giorni aveva amava le ragioni di ufficio di università , all ’ università ; ma ora , in mezzo all ’ opera , mezzo allo stesso modo , gli si sul e all ’ altra parte del principe verso questo ."
72,"""My little friend!"" said he, ""I wish I were in a quiet island with only you; and trouble, and danger, and hideous recollections removed from me.""","— Mia piccola amica, — disse, — vorrei esser solo con voi in un'isola molto tranquilla, ove non fossero né turbamenti, né pericoli, né odiosi ricordi.","— Mia piccola amica ! — esclamò , — vorrei desiderare che in una solitaria fase della vostra , e , per non aver fame ."
73,"What are your particular sins?' he continued without the slightest pause, as if anxious not to waste time.","Quali peccati particolari avete? — aggiunse senza il più piccolo intervallo, quasi cercando di non perdere tempo.","Che cosa sono delle vostre colpe ? — continuò , senza dubbio , senza dubbio il più bel bel silenzio ."
74,"""Conditionally.""",— A una condizione.,— Sì .
75,"But how just has it been—and how should all men reflect, that when they compare their present conditions with others that are worse, Heaven may oblige them to make the exchange, and be convinced of their former felicity by their experience—I say, how just has it been, that the truly solitary life I reflected on, in an island of mere desolation, should be my lot, who had so often unjustly compared it with the life which I then led, in which, had I continued, I had in all probability been exceeding prosperous and rich.","Ma oh! come ciò era giusto, e oh! come tutti gli uomini tentati ad augurarsi in vece della loro condizione presente altre condizioni peggiori, dovrebbero pensare che il Cielo può costringerli a tal cangiamento, e convincerli con l’esperienza quanto fossero più felici da prima! Oh! come era giusto, lo ripeto, che il condurre tal vita veramente solitaria, qual io me la dipingeva adesso in un’isola deserta, fosse retaggio di me, o al segno di metterla a confronto con quella ch’io viveva allora, vita che se non me l’avessi giocata, mi avrebbe secondo ogni probabilità fruttato e ricchezze ed ogni contentezza di cuore!","Ma come è vero , e come , se tutti gli uomini si debba lavorare , che quando si sono stati fatti più felici con loro per del tutto necessario , e che può essere convinto d ’ ogni consorzio del loro ricolto ; come ho detto , quello che è stato il mio destino , io mi accade sempre di essere stato in una vita di vita , che per quanto si fosse stato fatto per me , lo stato mi sarei trovato in vita di vita , che , per , non essere stato così come a quanto mi sarei trovato da vero che , a vivere , a quella che mi sarei stato fatto felice ."
76,'You won't find him there.,— Ma non lo troverai.,— Non lo .
77,Is that not so?,Non è forse così?,Non è vero ?
78,There are great moors behind and on each hand of me; there are waves of mountains far beyond that deep valley at my feet.,"Gruppi di paduli si estendevano da ogni lato, e al di là della profonda vallata che aveva ai piedi sorgeva una catena di colline.",V ' ingannate dalle mie catene e le altre che vi sono delle montagne ; qui vi sono le mie scale .
79,"'Yes; that's it exactly,' said Vorkuyev.",— Ma è proprio giusto! — disse Vorkuev.,"— Sì , è proprio così — disse Vorkuev ."
80,"I found now that the seasons of the year might generally be divided, not into summer and winter, as in Europe, but into the rainy seasons and the dry seasons, which were generally thus:","Trovai allora che le stagioni dell’anno poteano generalmente venir divise, non in verno e state come nell’Europa, ma in stagioni piovose ed asciutte, che generalmente erano queste:","Ero dunque in quell ' anno nelle stagioni piovose non vi , come nelle stagioni piovose ; ma come nelle stagioni piovose . Ero anche nelle stagioni piovose ."
81,"The muscles, clearly marked beneath the network of sinews, stretched in the fine, mobile skin, which was smooth as satin, seemed hard as bone.","I muscoli fortemente rilevati al di sotto della rete delle vene, distesi sotto la pelle sottile, mobile e liscia come raso, sembravano duri come ossa.","Le vostre preghiere , nei suoi occhi di , sono appunto in basso , quel bel visino , così pieno di raso rosa ."
82,"""Happen an hour and a half.""",— Un'ora e mezza.,— un ' ora e mezzo .
83,"This was a demoniac laugh--low, suppressed, and deep--uttered, as it seemed, at the very keyhole of my chamber door.","Era un riso diabolico e profondo, che pareva avesse echeggiato alla porta di camera mia.","Era una certa risata e si cantò una voce bassa , e così osservò :"
84,"'Now look at him,' said Kitty, turning him so that Levin could see him.","— Guarda, adesso — disse Kitty, voltando verso di lui il bambino perché egli potesse vederlo.","— Adesso , guardate — disse Kitty , voltandosi a Levin che gli riusciva a vedere ."
85,"""Mary,"" I said, ""how are you?""","— Buona sera, Maria, — dissi. — Come state?","— Maria , — dissi , — come siete ?"
86,"But I was a human being, and had a human being's wants: I must not linger where there was nothing to supply them.","Ma era un essere umano, e avevo bisogni umani; non potevo dunque rimanere in un luogo ov'era impossibile soddisfarli.","Ma ero un uomo umano , e aveva bisogno di un essere umano , non dovevo tornare a casa dove non poteva andare ."
87,"'Of course one must think of one's soul before everything else,' she remarked with a sigh. 'There was Parfen Denisich, who was no scholar at all, but may God grant everyone to die as he did!' she said, referring to a servant who had died recently: 'he received Holy Communion and Extreme Unction.'","— All’anima propria, è certo, bisogna pensarci più di tutto — ella disse con un sospiro. — Ecco, Parfën Denisyc, un analfabeta, è morto così come Iddio lo conceda a ognuno — ella disse, alludendo a un domestico morto da poco. — L’hanno comunicato, gli hanno dato l’olio santo.","— S ’ intende , bisogna pensare a tutto quello che è accaduto — ella disse , dopo aver sospirato . — C ’ era in modo di non fare nulla — disse , ma che Dio ha tutto questo per morire di morire con lui , come egli ha fatto l ’ estrema unzione , e allora le generali ."
88,"""Jane!""",— Jane!,— Jane !
89,The trained insight of a Society man enabled Vronsky with a single glance to decide that she belonged to the best Society.,"Con l’intuito abituale dell’uomo di mondo, Vronskij ne rilevò l’appartenenza al gran mondo.",L ’ ultimo uomo pieno di società era un uomo con l ’ uomo che provava per notare la sua relazione con la società migliore .
